DATE,CPIAUCSL_NBD20140101
1/1/2014,100
2/1/2014,100.11008
3/1/2014,100.31451
4/1/2014,100.50151
5/1/2014,100.69277
6/1/2014,100.8258
7/1/2014,100.93927
8/1/2014,100.92312
9/1/2014,100.93035
10/1/2014,100.91037
11/1/2014,100.72039
12/1/2014,100.40971
1/1/2015,99.77007
2/1/2015,100.02295
3/1/2015,100.29241
4/1/2015,100.39696
5/1/2015,100.72804
6/1/2015,101.00685
7/1/2015,101.16708
8/1/2015,101.16666
9/1/2015,100.93927
10/1/2015,101.03915
11/1/2015,101.15986
12/1/2015,101.05105
1/1/2016,101.0791
2/1/2016,100.94607
3/1/2016,101.14838
4/1/2016,101.50751
5/1/2016,101.76465
6/1/2016,102.06385
7/1/2016,102.04983
8/1/2016,102.25553
9/1/2016,102.45656
10/1/2016,102.7001
11/1/2016,102.8497
12/1/2016,103.15528
1/1/2017,103.58242
2/1/2017,103.7146
3/1/2017,103.58412
4/1/2017,103.72735
5/1/2017,103.67125
6/1/2017,103.77877
7/1/2017,103.8421
8/1/2017,104.25691
9/1/2017,104.74185
10/1/2017,104.79497
11/1/2017,105.11926
12/1/2017,105.33771
1/1/2018,105.74955
2/1/2018,106.02963
3/1/2018,106.00328
4/1/2018,106.23449
5/1/2018,106.52477
6/1/2018,106.75258
7/1/2018,106.88263
8/1/2018,107.06241
9/1/2018,107.21371
10/1/2018,107.43302
11/1/2018,107.38414
12/1/2018,107.38032
1/1/2019,107.33654
2/1/2019,107.60472
3/1/2019,107.99318
4/1/2019,108.35359
5/1/2019,108.44879
6/1/2019,108.54867
7/1/2019,108.8398
8/1/2019,108.92778
9/1/2019,109.05486
10/1/2019,109.32517
11/1/2019,109.57805
12/1/2019,109.84156
1/1/2020,110.00136
2/1/2020,110.09911
3/1/2020,109.63288
4/1/2020,108.76118
5/1/2020,108.70423
6/1/2020,109.31879
7/1/2020,109.96013
8/1/2020,110.36729
