,Percentage of drugs change price,Number
2014-08-01,0.0,0.0
2014-09-01,0.0,0.0
2014-10-01,0.1,235.0
2014-11-01,0.05,118.0
2014-12-01,0.125,294.0
2015-01-01,0.359375,846.0
2015-02-01,0.0,0.0
2015-03-01,0.0,0.0
2015-04-01,0.07352941176470588,173.0
2015-05-01,0.19718309859154928,464.0
2015-06-01,0.0,0.0
2015-07-01,0.2361111111111111,556.0
2015-08-01,0.013888888888888888,33.0
2015-09-01,0.0273972602739726,64.0
2015-10-01,0.0410958904109589,97.0
2015-11-01,0.0,0.0
2015-12-01,0.0,0.0
2016-01-01,0.3466666666666667,816.0
2016-02-01,0.0,0.0
2016-03-01,0.025974025974025976,61.0
2016-04-01,0.12987012987012986,306.0
2016-05-01,0.0,0.0
2016-06-01,0.05194805194805195,122.0
2016-07-01,0.025974025974025976,61.0
2016-08-01,0.02531645569620253,60.0
2016-09-01,0.012658227848101266,30.0
2016-10-01,0.0,0.0
2016-11-01,0.0,0.0
2016-12-01,0.0,0.0
2017-01-01,0.023255813953488372,55.0
2017-02-01,0.4166666666666667,980.0
2017-03-01,0.0,0.0
2017-04-01,0.0,0.0
2017-05-01,0.0,0.0
2017-06-01,0.0,0.0
2017-07-01,0.023529411764705882,55.0
2017-08-01,0.0,0.0
2017-09-01,0.11627906976744186,274.0
2017-10-01,0.023255813953488372,55.0
2017-11-01,0.011764705882352941,28.0
2017-12-01,0.07058823529411765,166.0
2018-01-01,0.0,0.0
2018-02-01,0.27380952380952384,644.0
2018-03-01,0.0,0.0
2018-04-01,0.0,0.0
2018-05-01,0.0,0.0
2018-06-01,0.0,0.0
2018-07-01,0.0,0.0
2018-08-01,0.0,0.0
2018-09-01,0.0,0.0
2018-10-01,0.012345679012345678,29.0
2018-11-01,0.12345679012345678,290.0
2018-12-01,0.0,0.0
2019-01-01,0.011904761904761904,28.0
2019-02-01,0.17857142857142858,420.0
2019-03-01,0.023809523809523808,56.0
2019-04-01,0.11627906976744186,274.0
2019-05-01,0.10465116279069768,246.0
2019-06-01,0.0,0.0
2019-07-01,0.0,0.0
2019-08-01,0.05952380952380952,140.0
2019-09-01,0.0,0.0
2019-10-01,0.047619047619047616,112.0
2019-11-01,0.1375,324.0
2019-12-01,0.012345679012345678,29.0
2020-01-01,0.036585365853658534,86.0
2020-02-01,0.21951219512195122,517.0
2020-03-01,0.0,0.0
2020-04-01,0.0,0.0
2020-05-01,0.0,0.0
2020-06-01,0.0,0.0
2020-07-01,0.013513513513513514,32.0
2020-08-01,0.0,0.0
2020-09-01,0.7083333333333334,1667.0
2020-10-01,0.041666666666666664,98.0
2020-11-01,0.020833333333333332,49.0
2020-12-01,0.0,0.0
2021-01-01,0.020833333333333332,49.0
2021-02-01,0.20833333333333334,490.0
2021-03-01,0.0,0.0
2021-04-01,0.0,0.0
2021-05-01,0.0,0.0
2021-06-01,0.0,0.0
