DATE,CPIMEDNS_NBD20140101
1/1/2014,100
2/1/2014,100.73274
3/1/2014,100.8724
4/1/2014,101.03184
5/1/2014,101.22271
6/1/2014,101.33397
7/1/2014,101.46711
8/1/2014,101.43289
9/1/2014,101.61864
10/1/2014,101.72384
11/1/2014,102.0539
12/1/2014,102.35068
1/1/2015,102.6414
2/1/2015,103.06363
3/1/2015,103.35156
4/1/2015,103.96675
5/1/2015,104.09477
6/1/2015,103.87551
7/1/2015,103.99236
8/1/2015,103.93719
9/1/2015,104.11246
10/1/2015,104.75861
11/1/2015,105.0626
12/1/2015,104.99301
1/1/2016,105.71527
2/1/2016,106.67425
3/1/2016,106.7499
4/1/2016,107.06972
5/1/2016,107.35742
6/1/2016,107.5541
7/1/2016,108.04034
8/1/2016,109.02144
9/1/2016,109.20183
10/1/2016,109.21952
11/1/2016,109.2435
12/1/2016,109.27003
1/1/2017,109.79445
2/1/2017,110.45689
3/1/2017,110.46038
4/1/2017,110.23251
5/1/2017,110.21621
6/1/2017,110.4136
7/1/2017,110.82466
8/1/2017,110.9976
9/1/2017,110.90822
10/1/2017,111.05626
11/1/2017,111.07418
12/1/2017,111.21477
1/1/2018,111.97311
2/1/2018,112.4007
3/1/2018,112.65371
4/1/2018,112.66535
5/1/2018,112.85598
6/1/2018,113.12738
7/1/2018,112.93512
8/1/2018,112.69747
9/1/2018,112.82223
10/1/2018,112.95281
11/1/2018,113.32919
12/1/2018,113.45093
1/1/2019,114.1015
2/1/2019,114.33962
3/1/2019,114.59077
4/1/2019,114.82935
5/1/2019,115.20107
6/1/2019,115.34888
7/1/2019,115.84327
8/1/2019,116.59486
9/1/2019,116.72334
10/1/2019,117.8015
11/1/2019,118.13692
12/1/2019,118.63689
1/1/2020,119.20949
2/1/2020,119.62241
3/1/2020,120.01392
4/1/2020,120.35096
5/1/2020,120.84931
6/1/2020,121.20776
7/1/2020,121.66212
8/1/2020,121.80387
