DATE,PCU4461104461101_NBD20140101
1/1/2014,100
2/1/2014,101.66367
3/1/2014,102.47302
4/1/2014,102.02338
5/1/2014,103.23741
6/1/2014,102.51799
7/1/2014,100.53957
8/1/2014,101.1241
9/1/2014,98.78597
10/1/2014,98.42626
11/1/2014,100.80935
12/1/2014,101.39388
1/1/2015,101.03417
2/1/2015,97.07734
3/1/2015,94.46942
4/1/2015,92.08633
5/1/2015,90.01799
6/1/2015,90.24281
7/1/2015,92.71583
8/1/2015,92.89568
9/1/2015,94.55935
10/1/2015,87.45504
11/1/2015,97.21223
12/1/2015,95.36871
1/1/2016,95.68345
2/1/2016,87.85971
3/1/2016,89.97302
4/1/2016,88.53417
5/1/2016,87.32014
6/1/2016,91.5018
7/1/2016,89.20863
8/1/2016,90.24281
9/1/2016,93.48022
10/1/2016,94.10971
11/1/2016,94.73921
12/1/2016,94.19964
1/1/2017,91.86151
2/1/2017,85.92626
3/1/2017,83.94784
4/1/2017,84.39748
5/1/2017,84.75719
6/1/2017,84.6223
7/1/2017,84.21763
8/1/2017,84.80216
9/1/2017,85.52158
10/1/2017,93.52518
11/1/2017,95.86331
12/1/2017,95.77338
1/1/2018,92.13129
2/1/2018,84.48741
3/1/2018,84.6223
4/1/2018,85.07194
5/1/2018,86.24101
6/1/2018,86.24101
7/1/2018,84.93705
8/1/2018,87.94964
9/1/2018,86.3759
10/1/2018,92.26619
11/1/2018,102.06835
12/1/2018,100.6295
1/1/2019,97.61691
2/1/2019,91.5018
3/1/2019,87.0054
4/1/2019,84.6223
5/1/2019,82.32914
6/1/2019,85.43165
7/1/2019,88.53417
8/1/2019,90.28777
9/1/2019,92.85072
10/1/2019,93.52518
11/1/2019,99.19065
12/1/2019,96.67266
1/1/2020,98.8759
2/1/2020,97.07734
3/1/2020,91.27698
4/1/2020,86.15108
5/1/2020,86.28597
6/1/2020,87.5
7/1/2020,87.36511
8/1/2020,91.00719
